user_query,user_query_timestamp,system_response,system_response_timestamp,session_name
Tell me about your caregiving situation.,2024-11-01 09:00:00,"I care for my 78-year-old mother who has Parkinson's. She lives with me and my spouse. We hired a part-time aide, but mornings are especially difficult because she needs help getting dressed and eating breakfast before I can leave for campus.",2024-11-01 09:01:21,session_faculty_001
How has caregiving changed your relationship with your work?,2024-11-01 09:02:04,"I used to love coming in early and having quiet time to write. Now that's impossible. I squeeze writing into lunch breaks or late evenings when she's asleep. My output has slowed considerably, and I feel guilty about both things simultaneously.",2024-11-01 09:02:59,session_faculty_001
You mentioned guilt. Can you say more about that?,2024-11-01 09:03:34,"There's always a pull in both directions. If I'm working, I feel like I'm neglecting her. If I'm with her, I feel like I'm falling behind on research. There's no moment where I feel fully present anywhere.",2024-11-01 09:04:28,session_faculty_001
What support has your institution offered?,2024-11-01 09:05:08,"Honestly, very little. There's an EAP with a hotline, but no formal policy for caregiving leave. My chair has been personally kind, but that's different from structural support.",2024-11-01 09:06:29,session_faculty_001
How do students factor into this?,2024-11-01 09:06:47,"They don't always know what's happening with me personally, but I think they sense when I'm stretched thin. I try not to let it affect my teaching, but some days I'm just going through the motions.",2024-11-01 09:07:40,session_faculty_001
Have you connected with any other caregiver colleagues?,2024-11-01 09:08:17,"A few, informally. There's a kind of unspoken recognition when you see someone rushing out at 3pm. We've had coffee a couple times. It helps to know you're not alone.",2024-11-01 09:09:19,session_faculty_001
What would you most want your institution to know?,2024-11-01 09:09:38,"That caregiving doesn't make you less committed. If anything, it makes you more empathetic and more efficient. But without some flexibility, people burn out and leave, and institutions lose experienced faculty.",2024-11-01 09:10:46,session_faculty_001
How are you doing emotionally right now?,2024-11-01 09:11:24,"Honestly, today is a good day. Yesterday was not. I've learned not to expect consistency — either from her health or from my own resilience. I try to take it week by week.",2024-11-01 09:12:52,session_faculty_001
What does self-care look like for you in this season?,2024-11-01 09:13:18,"I started going to bed earlier. That's it. That sounds small, but it was a real decision for me. I stopped pretending I could stay up late grading and also be a caregiver in the morning.",2024-11-01 09:14:02,session_faculty_001
Is there anything else you want to share?,2024-11-01 09:14:23,"Just that it's a marathon, not a sprint. I keep reminding myself that I'm doing the best I can, even when the best doesn't feel like enough.",2024-11-01 09:15:40,session_faculty_001
Can you introduce your caregiving situation?,2024-11-02 09:00:00,"I'm the primary caregiver for my husband, who has multiple sclerosis. He was diagnosed six years ago and the progression has been gradual but relentless. I'm a tenured associate professor in the humanities.",2024-11-02 09:00:37,session_faculty_002
How does his condition affect your day-to-day on campus?,2024-11-02 09:00:54,"It fluctuates. On a stable week, I can mostly function normally. On a crisis week, I might need to cancel class or work remotely without much notice. The unpredictability is the hardest part to plan around.",2024-11-02 09:01:47,session_faculty_002
How do you handle last-minute changes in your caregiving needs?,2024-11-02 09:02:06,"I have a backup list — a neighbor, his sister, a paid helper we use sporadically. I run through it like a mental checklist. The logistics are exhausting but I've gotten efficient at them out of necessity.",2024-11-02 09:03:25,session_faculty_002
What's the emotional labor like?,2024-11-02 09:03:48,"Enormous. He's dealing with grief about his own body, and I'm holding that alongside my own grief. I try to be strong for him, which sometimes means I don't have space to fall apart myself.",2024-11-02 09:05:03,session_faculty_002
Have you sought therapy or support for yourself?,2024-11-02 09:05:38,I started seeing a therapist two years ago. It took a health scare of my own to get me there. I was running so low on reserves that my body started protesting. Therapy has been essential.,2024-11-02 09:06:32,session_faculty_002
How have your research interests evolved through this experience?,2024-11-02 09:07:14,"My scholarship is on illness narratives, which I came to through a different route. But living this has deepened my understanding. There's a kind of insider knowledge now that changes how I read texts.",2024-11-02 09:08:43,session_faculty_002
